Entidad,Municipio,Habitantes,Mujeres,Hombres,Viviendas,ViviendasConLavadora,PorcentajeVivLavadora
Oaxaca,Santo Domingo Tomaltepec,3386,1735,1651,1193,597,0.5004191114836547
Oaxaca,Santo Domingo Tonalá,7393,3826,3567,3592,1326,0.36915367483296213
Oaxaca,Santo Domingo Tonaltepec,250,133,117,178,18,0.10112359550561797
Oaxaca,Santo Domingo Xagacía,1205,651,554,607,29,0.047775947281713346
Oaxaca,Santo Domingo Yanhuitlán,1633,874,759,859,242,0.2817229336437718
Oaxaca,Santo Domingo Yodohino,327,156,171,221,52,0.23529411764705882
Oaxaca,Santo Domingo Zanatepec,12483,6333,6150,4611,2453,0.5319887226198222
Oaxaca,Santos Reyes Nopala,16688,8791,7897,5629,1325,0.23538816841357257
Oaxaca,Santos Reyes Pápalo,2490,1272,1218,907,61,0.06725468577728776
Oaxaca,Santos Reyes Tepejillo,904,490,414,730,92,0.12602739726027398
Oaxaca,Santos Reyes Yucuná,1474,743,731,438,53,0.12100456621004566
Oaxaca,Santo Tomás Jalieza,3923,2065,1858,1248,409,0.327724358974359
Oaxaca,Santo Tomás Mazaltepec,2612,1349,1263,971,254,0.2615859938208033
Oaxaca,Santo Tomás Ocotepec,4066,2209,1857,1843,163,0.08844275637547477
Oaxaca,Santo Tomás Tamazulapan,2726,1418,1308,1022,304,0.2974559686888454
Oaxaca,San Vicente Coatlán,3512,1895,1617,1377,124,0.09005083514887437
Oaxaca,San Vicente Lachixío,3227,1767,1460,1132,193,0.1704946996466431
Oaxaca,San Vicente Nuñú,449,238,211,450,75,0.16666666666666666
Oaxaca,Silacayoápam,6710,3483,3227,4177,1211,0.28992099593009335
